Sorted by Term📖,,,Sorted by Emoji🙂,
📖Term,🙂Emoji,,🙂Emoji,📖Term
Actions🔄,🔄,,⏱️,Usage⏱️
Affliction💀,💀,,⏳ ,Duration⏳ 
AP🧩 ,🧩 ,,⚕️,Medical & Healing Supplies⚕️
AR🧥,🧥,,⚡,Power⚡
Armor🧥,🧥,,✅ ,Atr✅ 
Art🎨,🎨,,✒️,Writing & Communication✒️
Artifac t🌀 (Magic Item),🌀,,❤️,Vit❤️
Atr✅ ,✅ ,,⭐,Level⭐
Block🛡️,🛡️,,🌀,Artifac t🌀 (Magic Item)
Camp Gear🏕️,🏕️,,🌟,Tremendous🌟
Clothing & Personal👕,👕,,🍀,Luck🍀
Combat ⚔️,⚔️,,🍺,Minor🍺(Magic Item)
Containers🧺,🧺,,🙂,Emoji🙂
Critical💀,💀,,📖,Term📖
Days📅,📅,,🎨,Art🎨
Dmg💥,💥,,💥,Dmg💥 💥
Dual Wield⚔️,⚔️,,🎭,Traits🎭
Duration⏳ ,⏳ ,,🎯,Range🎯
Emoji🙂,🙂,,🎵,Entertainment & Instruments🎵
Entertainment & Instruments🎵,🎵,,🏃,Motion🏃
Food & Drink🥖,🥖,,🏕️,Camp Gear🏕️
Gear🧰,🧰,,🐉,Monster 🐉
GM🔎,🔎,,🐴,Travel & Animals🐴
Greater🪬 (Magic Item),🪬,,👁️,Mind👁️
Hazard💀,💀,,👕,Clothing & Personal👕
Junk🗑️,🗑️,,👣,MR👣
Lesser🔮  (Magic Item),🔮,,💪,Might💪
Level⭐,⭐,,💰,Money💰
Luck🍀,🍀,,📅,Days📅
Magic Item✨,✨,,📜,Notes📜
Magic✨,✨,,🔄,Actions🔄
Martial Arts🥋,🥋,,🔎,GM🔎
Medical & Healing Supplies⚕️,⚕️,,🔮,Lesser🔮 🔮 (Magic Item)
Might💪,💪,,🗑️,Junk🗑️
Mind👁️,👁️,,🗡️,Single Weapon🗡️
Minor🍺(Magic Item),🍺,,🥋,Martial Arts🥋
Money💰,💰,,🥖,Food & Drink🥖
Monster 🐉,🐉,,🧩 ,AP🧩 
Motion🏃,🏃,,🧬,Racial 🧬
MR👣,👣,,🧰,Gear🧰
Natural Weapons🥊,🥊,,🧺,Containers🧺
Nish🚩,🚩,,🚩,Nish🚩
Notes📜,📜,,🪬,Greater🪬 (Magic Item)
Power⚡,⚡,,🛠️,Tools & Equipment🛠️
Racial 🧬,🧬,,🩸,Wnd🩸
Range🎯,🎯,,🧥,AR🧥
Resist✨,✨,,🧥,Armor🧥
Save✨,✨,,🛡️,Weapon & Shield🛡️
Shields🛡️,🛡️,,🛡️,Shields🛡️
Single Weapon🗡️,🗡️,,🛡️,Block🛡️
Skill Set🎓,🎓,,🥊,Natural Weapons🥊
Skill🎓,🎓,,🥊,Unarmed 🥊
Term📖,📖,,💀,Affliction💀
Tools & Equipment🛠️,🛠️,,💀,Critical💀
Traits🎭,🎭,,💀,Hazard💀
Travel & Animals🐴,🐴,,🎓,Skill Set🎓
Tremendous🌟,🌟,,🎓,Skill🎓
Unarmed 🥊,🥊,,⚔️,Combat ⚔️
Usage⏱️,⏱️,,⚔️,Dual Wield⚔️
Vit❤️,❤️,,⚔️,Weapon⚔️
Weapon & Shield🛡️,🛡️,,✨,Magic Item✨
Weapon⚔️,⚔️,,✨,Magic✨
Wnd🩸🩸,🩸,,✨,Save✨
Writing & Communication✒️,✒️,,✨,Resist✨
Moxie🫀,🫀,,🫀,
🐉Monster Stats,🙂Emoji,,,
Nish🚩,🚩,,,
MR👣,👣,,,
Atk/Dmg⚔️,⚔️,,,
Def/AR🧥,🧥,,,
Vit❤️,❤️,,,
Atrributes [💪#/🏃#/👁️#/✨#],,,,
,,,,
,,,,
,,,,
,,,,
🚩14 👣10 ⚔️18/12(2) 🛡️16/2 ❤️12 – [💪18/🏃12/👁️10/✨10],,,,